h: 0.01
xi step: 0.001
xi: 0.8675937500000006
+------+----------------+----------------+--------------------+
|  z   |      u_p       |       u        |         F          |
+------+----------------+----------------+--------------------+
|  0   | 2.56169652e-06 | 2.22251189e-06 |         0          |
| 0.01 | 2.56169642e-06 | 2.22226561e-06 | 158.34359432971283 |
| 0.02 | 2.56169493e-06 | 2.22152627e-06 | 317.0316429999245  |
| 0.03 | 2.56168849e-06 | 2.22029225e-06 | 476.4074344445656  |
| 0.04 | 2.56167113e-06 | 2.21856089e-06 | 636.8120354298336  |
| 0.05 | 2.56163454e-06 | 2.21632847e-06 | 798.5831275877258  |
| 0.06 |  2.561568e-06  | 2.21359022e-06 | 962.0538524905184  |
| 0.07 | 2.56145843e-06 | 2.21034039e-06 | 1127.5516330238443 |
| 0.08 | 2.56129036e-06 | 2.2065722e-06  | 1295.3969659581455 |
| 0.09 | 2.56104594e-06 | 2.20227794e-06 | 1465.902180513896  |
| 0.1  | 2.56070498e-06 | 2.19744896e-06 | 1639.3701579405426 |
| 0.11 | 2.56024488e-06 | 2.19207573e-06 | 1816.093007444822  |
| 0.12 | 2.55964071e-06 | 2.18614788e-06 | 1996.3506941861924 |
| 0.13 | 2.55886518e-06 | 2.17965427e-06 | 2180.4096155047796 |
| 0.14 | 2.55788866e-06 | 2.17258301e-06 | 2368.5211220649153 |
| 0.15 | 2.55667919e-06 | 2.16492158e-06 | 2560.919981190417  |
| 0.16 | 2.55520251e-06 | 2.15665684e-06 | 2757.8227803428235 |
| 0.17 | 2.55342208e-06 | 2.14777516e-06 | 2959.426269457679  |
| 0.18 | 2.5512991e-06  | 2.13826248e-06 | 3165.9056417142037 |
| 0.19 | 2.54879255e-06 | 2.12810442e-06 | 3377.4127532779426 |
| 0.2  | 2.54585926e-06 | 2.11728637e-06 | 3594.0742836323366 |
| 0.21 | 2.54245388e-06 | 2.10579359e-06 | 3815.9898393116728 |
| 0.22 | 2.53852904e-06 | 2.09361136e-06 | 4043.2300051727093 |
| 0.23 | 2.53403533e-06 | 2.08072509e-06 | 4275.8343488031605 |
| 0.24 | 2.52892142e-06 | 2.06712044e-06 | 4513.809385269739  |
| 0.25 | 2.52313415e-06 | 2.0527835e-06  | 4757.126511163071  |
| 0.26 | 2.51661859e-06 | 2.03770091e-06 | 5005.719918807285  |
| 0.27 | 2.50931822e-06 | 2.02186004e-06 | 5259.484503572517  |
| 0.28 | 2.50117498e-06 | 2.00524916e-06 | 5518.273779461251  |
| 0.29 | 2.49212946e-06 | 1.9878576e-06  | 5781.897820534296  |
| 0.3  | 2.48212106e-06 | 1.96967597e-06 | 6050.121248296109  |
| 0.31 | 2.47108814e-06 | 1.95069631e-06 | 6322.661287865398  |
| 0.32 | 2.45896823e-06 | 1.93091233e-06 | 6599.185918604402  |
| 0.33 | 2.44569825e-06 | 1.91031957e-06 | 6879.312147852646  |
| 0.34 | 2.43121474e-06 | 1.88891564e-06 | 7162.604439485691  |
| 0.35 | 2.41545412e-06 | 1.86670043e-06 | 7448.573332167377  |
| 0.36 | 2.39835296e-06 | 1.84367629e-06 | 7736.6742853472215 |
| 0.37 | 2.37984833e-06 | 1.81984827e-06 | 8026.306794226681  |
| 0.38 | 2.35987809e-06 | 1.79522432e-06 |  8316.81381802159  |
| 0.39 | 2.33838126e-06 | 1.76981548e-06 | 8607.481568815101  |
| 0.4  | 2.31529846e-06 | 1.74363609e-06 |  8897.53971104474  |
| 0.41 | 2.29057225e-06 | 1.71670397e-06 | 9186.162024104873  |
| 0.42 | 2.26414765e-06 | 1.68904057e-06 | 9472.467582562875  |
| 0.43 | 2.2359726e-06  | 1.66067116e-06 | 9755.522509960512  |
| 0.44 | 2.20599848e-06 | 1.63162493e-06 | 10034.342362962367 |
| 0.45 | 2.17418066e-06 | 1.60193513e-06 | 10307.89520256622  |
| 0.46 | 2.14047909e-06 | 1.57163914e-06 | 10575.10540803737  |
| 0.47 | 2.10485892e-06 | 1.54077852e-06 | 10834.858286986442 |
| 0.48 | 2.06729114e-06 | 1.50939903e-06 | 11086.005531383587 |
| 0.49 | 2.02775331e-06 | 1.47755062e-06 | 11327.371564086288 |
