+-------+------------------+------------------+------------+------------+
|   Z   |        F         |     F deriv      |     U      |    divF    |
+-------+------------------+------------------+------------+------------+
|  0.0  |        0         |        0         | 2.2225e-06 | 90454.361  |
|  0.0  |   5.9772921046   |   5.040162856    | 2.2225e-06 |  90454.41  |
|  0.0  |   4.1030336074   |   4.5487891005   | 2.2225e-06 | 90454.444  |
|  0.0  |   4.9945445935   |   5.6378555155   | 2.2225e-06 | 90454.486  |
|  0.0  |   6.2811664374   |   6.990329634    | 2.2225e-06 | 90454.538  |
|  0.0  |   7.6994928307   |   8.4385894184   | 2.2225e-06 | 90454.602  |
| 0.001 |   9.1776860061   |   9.9329011151   | 2.2225e-06 | 90454.678  |
| 0.001 |   10.688116224   |  11.4530029957   | 2.2225e-06 | 90454.767  |
| 0.001 |  12.2178897673   |   12.989035245   | 2.2225e-06 | 90454.868  |
| 0.001 |  13.7601807227   |  14.5356090704   | 2.2225e-06 | 90454.982  |
| 0.001 |  15.3110374182   |  16.0895255461   | 2.2225e-06 | 90455.109  |
| 0.001 |  16.8680136741   |  17.6487639949   | 2.2225e-06 | 90455.249  |
| 0.001 |  18.4295143157   |  19.2119844931   | 2.2225e-06 | 90455.402  |
| 0.001 |  19.9944546704   |  20.7782631447   | 2.2225e-06 | 90455.568  |
| 0.001 |   21.562071619   |   22.346942107   | 2.2225e-06 | 90455.747  |
| 0.002 |   23.131812595   |  23.9175401729   | 2.2225e-06 | 90455.939  |
| 0.002 |  24.7032677508   |  25.4896972234   | 2.2225e-06 | 90456.144  |
| 0.002 |   26.276126696   |  27.0631383638   | 2.2225e-06 | 90456.362  |
| 0.002 |  27.8501500316   |  28.6376501349   | 2.2225e-06 | 90456.593  |
| 0.002 |  29.4251502382   |  30.2130642457   | 2.2225e-06 | 90456.837  |
| 0.002 |  31.0009782532   |  31.7892462335   | 2.2225e-06 | 90457.094  |
| 0.002 |  32.5775142138   |  33.3660874527   | 2.2225e-06 | 90457.364  |
| 0.002 |  34.1546606917   |   34.943499092   | 2.2225e-06 | 90457.648  |
| 0.002 |  35.7323374923   |  36.5214078655   | 2.2225e-06 | 90457.944  |
| 0.002 |  37.3104782387   |  38.0997528278   | 2.2225e-06 | 90458.254  |
| 0.002 |  38.8890274169   |  39.6784828483   | 2.2225e-06 | 90458.576  |
| 0.003 |  40.4679382797   |  41.2575547193   | 2.2225e-06 | 90458.912  |
| 0.003 |  42.0471711588   |   42.836931706   | 2.2225e-06 | 90459.261  |
